City,Code,1500,1550,1600,1650,1700,1750,1800
NAPOLI,12,150,212,281,176,216,305,427
NICOSIA,12,UNK,17,21,12,12,12,12
NOTO,12,0,0,8,10,7,11,11
PALERMO,12,55,70,105,129,100,118,139
PIAZZA (ENNA),12,UNK,12,20,14,9,12,12
RAGUSA,12,0,0,9,9,9,12,17
REGGIO DI CALABRIA,12,UNK,UNK,UNK,UNK,UNK,UNK,UNK
SASSARI,12,13,UNK,14,UNK,14,15,17
SIRACUSA,12,UNK,12,12,14,17,18,16
TARANTO,12,12,21,17,UNK,UNK,UNK,17
TERMINI,12,UNK,UNK,10,9,7,10,14
TRAPANI,12,UNK,16,17,19,17,17,25
ALCALA LA REAL,13,UNK,UNK,10,UNK,UNK,UNK,12
ALCAZAR DE SAN JUAN,13,UNK,20,10,UNK,UNK,UNK,10
ALICANTE,13,0,0,11,11,0,0,13
ANDUJAR,13,UNK,UNK,12,UNK,UNK,UNK,10
ANTEQUERA,13,UNK,10,16,19,UNK,UNK,15
ARACENA,13,UNK,6,10,7,0,UNK,10
AVILA,13,UNK,16,14,6,5,0,0
BADAJOZ,13,UNK,UNK,11,UNK,UNK,UNK,10
BAEZA,13,UNK,18,21,12,7,UNK,10
BARCELONA,13,29,35,43,44,43,50,115
BILBAO,13,0,0,0,6,6,7,11
BURGOS,13,0,22,13,3,9,0,9
CADIZ,13,2,0,5,7,23,60,70
CARTAGENA,13,4,0,8,UNK,12,UNK,33
CORDOBA,13,27,33,45,32,28,UNK,40
CUENCA,13,UNK,14,25,0,0,0,0
ECIJA,13,UNK,17,22,20,10,UNK,28
GRANADA,13,70,UNK,69,UNK,UNK,UNK,55
JAEN,13,UNK,22,22,18,20,22,28
JEREZ DA LA FRONTERA,13,UNK,18,27,17,13,UNK,35
LUCENA,13,UNK,UNK,18,UNK,UNK,UNK,18
MADRID,13,0,30,49,130,110,109,167
MALAGA,13,UNK,13,13,UNK,30,32,36
MEDINA DEL CAMPO,13,UNK,16,14,3,5,0,0
MEDINA DE RIOSECO,13,UNK,11,10,6,7,0,0
MORON DE LA FRONTERA,13,UNK,UNK,8,0,0,0,11
MURCIA,13,10,13,17,20,25,32,40
OCANA,13,UNK,UNK,13,UNK,0,0,6
ORIHUELA,13,0,UNK,10,UNK,UNK,UNK,19
OSUNA,13,UNK,UNK,10,UNK,UNK,UNK,14
PALENCIA,13,UNK,8,12,4,4,0,10
PALMA,13,UNK,UNK,23,UNK,UNK,UNK,29
